ID,hp
21200000,2240
21200056,2240
21200100,1880
21201000,2240
21201100,2240
21202000,2240
21202056,2240
21203000,2240
21203056,2240
21209000,2240
38000000,262
38000010,504
38000030,262
38000050,504
38000100,1052
38000110,1052
38000120,1052
38001000,262
38001020,262
38001040,504
38001100,1052
38001110,1052
38001120,1052
41400000,124
41400010,124
41401000,187
41402000,187
41402100,187
41402200,187
41402210,574
41403000,187
41404000,124
41404010,124
41409000,1052
42200000,1052
42200010,1052
44200000,588
44200120,588
44201000,588
44202000,588
44202010,1052
44203000,588
44203010,588
44204000,588
44205000,588
44410000,1052
44420000,1052
44420010,1052
44820000,1052
45020000,908
45020010,908
45021000,1052
45040000,2240
45110000,2240
45110010,1010
45110066,2240
45110100,1636
46010000,1052
46010010,1052
46010020,1052
46010100,1052
46010200,1052
46030000,1052
46030010,1052
47210000,1164
47210070,2240
47210080,1256
47300000,2240
47300040,2240
47301000,1625
48000000,2240
48000010,1991
48110010,1052
50000000,2240
50000001,2240
50000092,2240
50000100,1679
50300000,2240
50300001,2240
50300094,2240
50300100,1296
50300110,1799
50301000,1785
50400000,529
50400010,529
50400020,529
50400100,1052
50400120,296
50400400,529
50400410,822
50510000,2240
50510001,2240
50510086,2240
50510090,1571
50510100,1634
50700000,460
50700010,263
50700020,460
50700030,460
50701000,460
50701010,263
50701015,1052
50810000,1052
50810010,1052
50810020,1052
50811000,1052
50811010,1052
51200000,2240
51200001,2240
51200085,2240
51300000,2240
51300001,2240
51300099,2240
51300100,1711
51300200,1680
51301000,2240
51301099,2240
51400000,2240
51400001,2240
51400099,2240
51700000,1823
51700001,1823
51700080,1823
51700083,1823
51700090,1823
51700091,1823
51700094,1823
51701000,1823
51701001,1823
51701084,1823
51701090,1823
51702000,2279
51702001,2279
51702094,2279
52000000,2240
52000001,2240
52000097,2240
52000100,1636
52200000,2240
52300000,472
52300001,472
52300080,2240
52300090,1127
52300096,472
52300100,472
52300101,472
52300196,472
52300200,849
52300201,849
52300296,849
52300300,774
52300301,774
52300396,774
52300400,849
52300401,849
52300496,849
52300500,774
52300501,774
52300596,774
52500000,516
52500010,1018
52500030,516
52500040,516
52500100,849
52500110,849
52500120,849
52500130,849
52501000,516
52501010,516
52501030,516
52501100,961
52501200,961
52501210,961
52501220,1052
52501300,961
52501310,961
52501400,961
53000000,2240
53000001,2240
53000080,1844
53000082,2087
53001000,1833
53200000,1052
53200010,1052
53900000,1052
53900001,1052
53900083,1052
53900090,1052
53900100,1052
53901000,875
53903000,1052
53904000,875
53904100,875
53908000,1052
53910000,1052
53910082,1052
53910100,1052
53910190,1052
53910200,1052
53918000,1052
55510000,1052
55510093,1052
55510100,1052
55800000,1052
55800084,1052
55800085,1052
55800985,1052
55801000,638
55808000,638
55910000,1052
55910087,1052
55910400,1052
55910500,1052
55910587,1052
55917500,1052
55917587,1052
56200000,1052
56200084,1052
57300000,784
57300083,784
57301000,1052
57301993,1052
57400000,251
57400090,251
57400094,251
57400095,251
57401000,251
57401090,251
57401094,251
57401095,251
57402000,251
57402090,251
57402094,251
57402095,251
57403000,251
57403090,251
57403094,251
57403095,251
57404000,251
57404090,251
57404094,251
57404095,251
57404096,1052
57405000,251
57405094,251
57405095,251
57406000,251
57406094,251
57406095,251
57407000,251
57407050,841
57407094,251
57407095,251
57407100,251
57409000,251
57409080,513
57409081,513
57409083,513
57409090,513
57800000,1052
57800090,1052
57800095,1052
57800100,1052
57800200,1052
57800700,1052
57900000,1052
57900090,1052
57900095,1052
57900100,1052
57901000,491
57901090,491
57901094,491
57901095,491
57901100,491
57902000,1052
57902100,1052
57903000,491
57903100,491
57904000,1052
57904100,1052
57905000,491
57905100,491
57906000,1052
57907000,491
57908000,1052
57909000,491
58200000,1052
58200010,1052
58400001,444
58400050,444
58400080,444
58400081,444
58400082,444
58400090,444
58400093,444
58400098,444
58400100,444
58400101,444
58400182,444
58400190,444
58400193,444
58400195,444
58400198,444
58400200,444
58400201,444
58400290,444
58400293,444
58400300,444
58400301,444
58400382,444
58400390,444
58400398,444
58400500,573
58400501,573
58400600,573
58400601,573
58401000,531
58401010,531
58401020,1052
58401030,1052
58401290,444
58401390,444
58402000,444
58403000,444
58409000,444
58409098,444
59600000,2240
59600081,2240
59600088,2240
59600098,2240
59600100,2240
59600198,2240
59700000,1052
59700083,1052
59700090,1052
59700190,1052
59701000,1052
59701100,615
59701190,615
59701290,615
59702000,1052
59702090,1052
62600000,894
62601000,1052
62601084,1052
63100000,1052
63101000,631
63101093,631
76100000,2279
76100010,2279
76100020,1117
76109000,2165
77200000,2240
77200010,2240
79300000,1244
79300010,1195
79300100,1244
79300110,1195
79301000,1991
79301010,2240
79301100,1991
79301110,2240
79310000,2279
79320000,2279
79320001,2279
79320002,2279
79320003,2279
