ID,itemLotId_enemy
21000000,536000420
21300000,458003000
21300010,502000100
21300030,502000100
21300500,27700900
21300520,22500000
21309000,22500000
21400000,340000100
21400020,536000000
21400040,24351100
21400100,587200000
21400200,22270000
21400220,24351000
21400300,536000300
21400400,23300100
21400600,23060000
21400900,451000000
21401000,536000220
21401020,23701000
21401100,587200700
21401200,24340000
21401210,536000000
21401300,23970210
21401400,23010100
21401410,22270000
21401600,536000110
21401900,23810000
21403000,24351000
21403100,340000300
21409000,24351100
22740000,24470200
22740030,587200000
22760000,414000010
22761020,536000320
25000000,356000000
25000100,300000000
25000110,356000000
25001000,458003000
25001010,22500000
25001040,300000000
25001100,356000000
25001110,502000000
25006000,502000100
25006100,300000000
25007000,27700900
25007100,502000000
25008000,502000000
25008100,502000000
25009000,458003000
30100000,536000210
30100030,24340000
30100040,24353100
30100100,536000200
30100110,536000220
30100120,536000030
30100190,536000310
30100200,587200700
30100210,536000010
30100250,23060000
30100260,340000300
30100270,536000400
30100275,23970000
30100400,536000210
30100410,24353000
30100420,22140100
30100430,23330000
30100500,536000000
30100510,23300100
30100520,24470200
30100600,24470200
30100610,23800000
30100620,23060000
30100800,23701100
30101000,340000100
30101030,23970010
30101040,24351200
30101100,23701000
30101110,23010000
30101120,24260000
30101130,23701000
30101200,435300000
30101210,24340000
30101230,536000040
30101240,23900100
30101250,536000300
30101400,24351100
30101410,23901100
30101420,24351000
30101500,23010000
30101510,536000400
30101520,24351100
30101600,23800000
30101610,23800100
30101620,435300000
30102000,536000300
30102020,536000040
30102040,24351000
30102100,23701000
30102110,536000040
30102120,23970300
30102130,23910100
30102200,24355000
30102210,23350200
30102220,23670100
30102230,536000320
30102240,24340000
30102400,23970010
30102410,227000010
30102420,536000120
30102500,23330000
30102510,23010100
30102520,23670100
30102600,23701000
30102610,536000110
30102620,22270000
30106000,536000320
30106010,24340000
30106020,536000110
30107000,23060100
30107010,23901000
30107020,23300000
30108000,24351200
30108010,24355000
30108020,24241000
30500000,502000000
30500100,22500000
30600000,23910100
30600020,536000410
30600030,536000410
30600040,536000110
