NpcParam_ID,Name,field,intended_value(MMV),current_value(mod)
20410056,Kindred of Rot Larva,chaosMatchingCorrectParamId,0,7700
21000052,Black Knife Assassin (Ordina),chaosMatchingCorrectParamId,0,7730
21000735,Black Knife Assassin (Boss),chaosMatchingCorrectParamId,0,7730
21000820,Black Knife Assassin (Boss),chaosMatchingCorrectParamId,0,7730
21000830,Black Knife Assassin (Boss),chaosMatchingCorrectParamId,0,7730
21000930,Black Knife Assassin (Boss),chaosMatchingCorrectParamId,0,7730
21001000,Black Knife Assassin (Unscaled),chaosMatchingCorrectParamId,0,7730
21001010,Black Knife Assassin (Limgrave Catacombs Boss),chaosMatchingCorrectParamId,0,7730
21002000,Black Knife Assassin (Unscaled),chaosMatchingCorrectParamId,0,7730
21002922,Alecto- Black Knife Ringleader,chaosMatchingCorrectParamId,0,7730
21009000,Black Knife Assassin (Unscaled),chaosMatchingCorrectParamId,0,7730
21009020,Black Knife Assassin (Liurnia Catacombs Boss),chaosMatchingCorrectParamId,0,7730
21300014,Margit- the Fell Omen,chaosMatchingCorrectParamId,0,7750
21300534,Morgott- the Omen King,chaosMatchingCorrectParamId,0,7750
21400012,Omen,chaosMatchingCorrectParamId,0,7730
21400034,Omen (Leyndell),chaosMatchingCorrectParamId,0,7730
21400090,Omen,chaosMatchingCorrectParamId,0,7730
21401130,Omen,chaosMatchingCorrectParamId,0,7730
21401135,Omen,chaosMatchingCorrectParamId,0,7730
21401335,Omen,chaosMatchingCorrectParamId,0,7730
21403050,Fell Twin,chaosMatchingCorrectParamId,0,7730
21403150,Fell Twin,chaosMatchingCorrectParamId,0,7730
22700012,Giant Crab,chaosMatchingCorrectParamId,0,7710
22700030,Giant Crab,chaosMatchingCorrectParamId,0,7710
22700032,Giant Crab,chaosMatchingCorrectParamId,0,7710
22700033,Giant Crab,chaosMatchingCorrectParamId,0,7710
22700210,Giant Crab,chaosMatchingCorrectParamId,0,7710
22710032,Crab,chaosMatchingCorrectParamId,0,7700
22710033,Crab,chaosMatchingCorrectParamId,0,7700
22710060,Crab (Ainsel River),chaosMatchingCorrectParamId,0,7700
22769000,Giant Death Crab,chaosMatchingCorrectParamId,0,7740
25000034,Crucible Knight (Leyndell),chaosMatchingCorrectParamId,0,7750
25000042,Crucible Knight (Boss),chaosMatchingCorrectParamId,0,7750
25000065,Crucible Knight,chaosMatchingCorrectParamId,0,7750
25000933,Crucible Knight Ordovis,chaosMatchingCorrectParamId,0,7750
25000941,Crucible Knight (Redmane Boss),chaosMatchingCorrectParamId,0,7750
25001065,Crucible Knight,chaosMatchingCorrectParamId,0,7750
25001066,Crucible Knight Siluria,chaosMatchingCorrectParamId,0,7750
25001933,Crucible Knight Ordovis (Auriza Boss),chaosMatchingCorrectParamId,0,7750
25006020,Crucible Knight (Boss),chaosMatchingCorrectParamId,0,7750
25006120,Crucible Knight (Boss),chaosMatchingCorrectParamId,0,7750
25007020,Crucible Knight (Boss),chaosMatchingCorrectParamId,0,7750
25007120,Crucible Knight (Boss),chaosMatchingCorrectParamId,0,7750
25008000,Crucible Knight,chaosMatchingCorrectParamId,0,7750
30000006,Exile Soldier,chaosMatchingCorrectParamId,0,7710
30000034,Exile Soldier (Leyndell),chaosMatchingCorrectParamId,0,7710
30000106,Exile Soldier,chaosMatchingCorrectParamId,0,7710
30000134,Exile Soldier (Leyndell),chaosMatchingCorrectParamId,0,7710
30000834,Exile Soldier (Leyndell),chaosMatchingCorrectParamId,0,7710
30001034,Exile Soldier (Leyndell),chaosMatchingCorrectParamId,0,7710
30002034,Exile Soldier (Leyndell),chaosMatchingCorrectParamId,0,7710
30003034,Exile Soldier (Leyndell),chaosMatchingCorrectParamId,0,7710
30004107,Mausoleum Exile Soldier,chaosMatchingCorrectParamId,0,7710
30004251,Mausoleum Exile Soldier,chaosMatchingCorrectParamId,0,7710
30007051,Mausoleum Exile Soldier,chaosMatchingCorrectParamId,0,7710
30008040,Exile Soldier (Boss),chaosMatchingCorrectParamId,0,7710
30100034,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30100134,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30100234,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30100651,Mausoleum Banished Knight,chaosMatchingCorrectParamId,0,7730
30101034,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30101134,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30101140,Banished Knight,chaosMatchingCorrectParamId,0,7730
30101234,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30102034,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30102134,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30102234,Banished Knight (Leyndell),chaosMatchingCorrectParamId,0,7730
30102451,Mausoleum Banished Knight,chaosMatchingCorrectParamId,0,7730
30106051,Banished Knight (Niall Boss),chaosMatchingCorrectParamId,0,7730
30107051,Banished Knight (Niall Boss),chaosMatchingCorrectParamId,0,7730
30200034,Large Exile Soldier (Leyndell),chaosMatchingCorrectParamId,0,7710
30208040,Large Exile Soldier (Boss),chaosMatchingCorrectParamId,0,7710
30500051,Commander Niall,chaosMatchingCorrectParamId,0,7750
30500140,Commander O'Neil,chaosMatchingCorrectParamId,0,7750
30509999,Commander,chaosMatchingCorrectParamId,0,7750
30800032,Imp,chaosMatchingCorrectParamId,0,7700
30800042,Imp,chaosMatchingCorrectParamId,0,7700
30800052,Imp,chaosMatchingCorrectParamId,0,7700
30800830,Imp,chaosMatchingCorrectParamId,0,7700
30800852,Imp,chaosMatchingCorrectParamId,0,7700
30800912,Imp (Boss),chaosMatchingCorrectParamId,0,7700
30801012,Imp,chaosMatchingCorrectParamId,0,7700
30801032,Imp,chaosMatchingCorrectParamId,0,7700
30801033,Imp,chaosMatchingCorrectParamId,0,7700
30801042,Imp,chaosMatchingCorrectParamId,0,7700
30802012,Imp,chaosMatchingCorrectParamId,0,7700
30802032,Imp,chaosMatchingCorrectParamId,0,7700
30802034,Imp (Leyndell),chaosMatchingCorrectParamId,0,7700
30806012,Imp,chaosMatchingCorrectParamId,0,7700
30806042,Imp,chaosMatchingCorrectParamId,0,7700
30806052,Imp,chaosMatchingCorrectParamId,0,7700
31000033,Bell Bearing Hunter,chaosMatchingCorrectParamId,0,7750
31000042,Bell Bearing Hunter,chaosMatchingCorrectParamId,0,7750
31000931,Elemer of the Briar (Shaded Castle),chaosMatchingCorrectParamId,0,7750
31500032,Night's Cavalry,chaosMatchingCorrectParamId,0,7750
31500040,Night's Cavalry,chaosMatchingCorrectParamId,0,7750
31500042,Night's Cavalry,chaosMatchingCorrectParamId,0,7750
31500050,Night's Cavalry,chaosMatchingCorrectParamId,0,7750
31500052,Night's Cavalry (Glaive),chaosMatchingCorrectParamId,0,7750
31501012,Night's Cavalry (Weeping Peninsula Boss),chaosMatchingCorrectParamId,0,7750
31501030,Night's Cavalry,chaosMatchingCorrectParamId,0,7750
31501040,Night's Cavalry,chaosMatchingCorrectParamId,0,7750
31501052,Night's Cavalry (Flail),chaosMatchingCorrectParamId,0,7750
31700052,Albinauric Archer,chaosMatchingCorrectParamId,0,7710
31701052,Albinauric Archer,chaosMatchingCorrectParamId,0,7710
31709020,Latenna the Albinauric,chaosMatchingCorrectParamId,0,7710
31709052,Latenna the Albinauric,chaosMatchingCorrectParamId,0,7710
31810052,Red Wolf of Radagon,chaosMatchingCorrectParamId,0,7740
31811024,Red Wolf of Radagon Sword (Archives),chaosMatchingCorrectParamId,0,7740
31811032,Red Wolf of the Champion,chaosMatchingCorrectParamId,0,7740
32500033,Draconic Tree Sentinel (Capital Outskirts),chaosMatchingCorrectParamId,0,7750
32500070,Draconic Tree Sentinel,chaosMatchingCorrectParamId,0,7750
32510010,Tree Sentinel (Limgrave),chaosMatchingCorrectParamId,0,7750
32510034,Tree Sentinel  (Leyndell),chaosMatchingCorrectParamId,0,7750
32510070,Tree Sentinel,chaosMatchingCorrectParamId,0,7750
32511030,Tree Sentinel - Torch (Altus Plateau),chaosMatchingCorrectParamId,0,7750
32520054,Loretta- Knight of the Haligtree,chaosMatchingCorrectParamId,0,7740
32520921,Royal Knight Loretta,chaosMatchingCorrectParamId,0,7740
33000900,Nox Swordstress,chaosMatchingCorrectParamId,0,7730
33000940,Nox Swordstress (Boss),chaosMatchingCorrectParamId,0,7730
33001940,Nox Monk (Boss),chaosMatchingCorrectParamId,0,7730
33201052,Silver Tear,chaosMatchingCorrectParamId,0,7710
33209010,Asimi- Silver Tear,chaosMatchingCorrectParamId,0,7710
33500154,Crystalian (Spirit),chaosMatchingCorrectParamId,0,7740
33500920,Crystalian (Boss),chaosMatchingCorrectParamId,0,7740
33500930,Crystalian (Ringblade),chaosMatchingCorrectParamId,0,7740
33500940,Putrid Crystalian (Ringblade),chaosMatchingCorrectParamId,0,7740
33501154,Crystalian,chaosMatchingCorrectParamId,0,7740
33501920,Crystalian (Spear),chaosMatchingCorrectParamId,0,7740
